ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"194.116.72.46","elite","AS41364","IT","Consorzio TOP IX - Torino E Piemonte Exchange Point CC","14","Consorzio Topix - Torino e Piemonte Exchange Point","7497","socks5","4597","1","2023-09-06T11:00:15.392Z","100","3753","3754"
"185.169.181.15","elite","AS34984","TR","Ates Dc","93","Ibrahim MALA trading as Ates Dc","4145","socks4","4902","1","2023-09-06T11:00:15.383Z","100","3814","3818"
"45.7.176.42","elite","AS266626","BR","Litoral Telecom","205","Litoral Telecom","39867","socks4","2402","1","2023-09-06T11:00:15.380Z","98","3631","3708"
"213.197.136.218","elite","AS15440","LT","BALTNET","33","N/A","5678","socks4","214","1","2023-09-06T11:00:12.841Z","100","3656","3658"
"165.227.31.218","elite","AS14061","US","DigitalOcean, LLC","179","DigitalOcean, LLC","19090","socks5","5000","1","2023-09-06T11:00:12.944Z","69","2608","3792"
"70.185.95.177","elite","AS22773","US","Cox Communications Inc.","196","Cox Communications Inc.","39593","socks4","4905","1","2023-09-06T11:00:12.843Z","99","3655","3702"
"171.100.22.133","elite","AS17552","TH","True Internet Corporation CO. Ltd.","208","Truenet CM","5678","socks4","1407","1","2023-09-06T11:00:06.436Z","82","3079","3740"
"177.223.238.20","elite","AS52559","BR","Novatec Telecom Ltda","203","Novatec Telecom Ltda","4153","socks4","4800","1","2023-09-06T11:00:06.434Z","99","3683","3717"
"51.68.93.11","elite","AS16276","FR","OVH SAS","8","OVH","46979","socks5","2906","1","2023-09-06T11:00:06.543Z","100","3659","3659"
"51.68.21.244","elite","AS16276","FR","OVH SAS","6","OVH","5000","socks5","4207","1","2023-09-06T11:00:06.541Z","100","3647","3652"
"125.27.251.173","elite","AS23969","TH","TOT Public Company Limited","192","TOT Public Company Limited","33008","socks4","4104","1","2023-09-06T11:00:04.877Z","41","1584","3824"
"88.135.41.236","elite","AS57391","IR","Laser Company Ltd","99","Laser Company Ltd","4153","socks4","5098","1","2023-09-06T11:00:04.882Z","74","2742","3725"
"203.30.189.85","elite","AS209242","US","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","4700","1","2023-09-06T11:00:04.879Z","100","3795","3795"
"149.28.13.113","elite","AS20473","US","The Constant Company","140","Vultr Holdings, LLC","10786","socks4","4498","1","2023-09-06T11:00:04.879Z","47","1704","3601"
"197.245.189.194","elite","AS11845","ZA","Vox Telecom","189","Vox Telecom (Pty) Ltd","5678","socks4","5090","1","2023-09-06T11:00:04.881Z","86","3165","3697"
"217.197.151.182","elite","AS34093","CZ","PREROV","32","N/A","5678","socks4","5205","80","2023-09-06T11:00:04.880Z","100","3786","3793"
"110.77.163.5","elite","AS131090","TH","CAT-BB","166","N/A","4145","socks4","2504","1","2023-09-06T10:59:59.645Z","91","3380","3731"
"185.104.219.229","elite","AS60751","IE","ServeByte Ltd","26","ServeByte IE","80","socks4","4789","1","2023-09-06T10:59:59.639Z","100","3703","3712"
"77.235.28.229","elite","AS41750","KG","Mega-Line Ltd.","87","Megaline","4153","socks4","3997","1","2023-09-06T10:59:59.741Z","97","3637","3740"
"103.86.1.255","elite","AS136371","IN","Airwir Technologies Private Limited","191","Airwir Technologies Private Limited","4145","socks4","5100","1","2023-09-06T10:59:59.644Z","100","3712","3715"
"36.89.11.81","elite","AS7713","ID","PT. Telekomunikasi Indonesia","285","Telekomunikasi Indonesia","5678","socks4","5109","1","2023-09-06T10:59:59.642Z","87","3316","3814"
"188.166.231.51","elite","AS14061","SG","DigitalOcean, LLC","180","Digitalocean","7497","socks5","4596","1","2023-09-06T10:59:54.582Z","98","3626","3683"
"185.206.80.227","elite","AS210021","IQ","DIL Technology Limited","196","Diltechnology","10801","socks4","4895","1","2023-09-06T10:59:54.579Z","53","2010","3764"
"79.141.160.2","elite","AS202015","US","HZ Hosting Ltd","93","HZ Na21","48462","socks5","4396","1","2023-09-06T10:59:54.677Z","95","3531","3726"
"120.46.155.74","elite","AS55990","CN","Huawei Cloud Service data center","286","Huawei Cloud Service","7890","socks4","4515","1","2023-09-06T10:59:54.582Z","61","2268","3727"
"85.143.173.198","elite","AS201848","RU","Trader soft LLC","47","Trader soft LLC","8444","socks5","4513","1","2023-09-06T10:59:53.349Z","99","3780","3808"
"103.47.93.221","elite","AS134058","IN","Broban Internet Services Pvt.ltd","203","Broban  PVT Ltd.","1080","socks4","5192","1","2023-09-06T10:59:53.244Z","99","3684","3709"
"94.130.182.121","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","5566","socks5","3614","1","2023-09-06T10:59:53.350Z","100","3687","3687"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","5108","1","2023-09-06T10:59:53.348Z","100","3782","3789"
"91.90.16.211","elite","AS13307","UA","SKIF","49","SKIF ISP Ltd.","1080","socks4","5002","1","2023-09-06T10:59:53.242Z","95","3573","3754"
"51.68.83.188","elite","AS16276","FR","OVH SAS","11","OVH","16977","socks5","4289","1","2023-09-06T10:59:47.041Z","100","3790","3790"
"104.20.225.218","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4903","1","2023-09-06T10:59:46.851Z","100","3756","3757"
"92.222.237.74","elite","AS16276","FR","OVH SAS","5","LCC LCC","8888","socks5","4711","1","2023-09-06T10:59:46.937Z","100","3730","3730"
"168.227.158.1","elite","AS52898","BR","Multipla Serviços Inteligentes","205","Multipla Serviços Inteligentes","4145","socks4","4796","1","2023-09-06T10:59:46.841Z","99","3754","3779"
"45.196.151.62","elite","AS7018","US","AT&T Services, Inc.","94","AQUA Networks Limited","5432","socks5","4404","1","2023-09-06T10:59:44.483Z","98","3658","3732"
"113.160.227.166","elite","AS45899","VN","VietNam Post and Telecom Corporation","297","Vietnam Posts and Telecommunications Group","5678","socks4","2093","1","2023-09-06T10:59:44.482Z","96","3629","3766"
"179.191.12.97","elite","AS265440","BR","Telnet Sistemas e Comunicações","213","Telnet Sistemas e Comunicações","4153","socks4","3200","1","2023-09-06T10:59:44.484Z","97","3717","3817"
"109.94.182.128","elite","AS44895","RU","MTS PJSC","68","Antenna-Garant","4145","socks4","139","1","2023-09-06T10:59:44.482Z","94","3539","3785"
"87.255.69.6","elite","AS15836","MD","Arax-Impex s.r.l.","54","Arax-impex SRL","5678","socks4","4907","1","2023-09-06T10:59:40.345Z","100","3686","3696"
"75.119.203.88","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks5","5002","1","2023-09-06T10:59:40.437Z","100","3704","3706"
"45.7.177.236","elite","AS266626","BR","Litoral Telecom","290","Litoral Telecom","39867","socks4","4402","1","2023-09-06T10:59:40.348Z","99","3640","3681"
"61.7.174.64","elite","AS131090","TH","CAT Telecom Public Company Limited","168","National Telecom Public Company Limited","4153","socks4","1303","1","2023-09-06T10:59:40.435Z","83","3024","3646"
"45.70.237.146","elite","AS264668","EC","Nedetel S.A.","181","Nedetel S.A","4145","socks4","5107","1","2023-09-06T10:59:34.279Z","99","3765","3784"
"143.110.240.94","elite","AS14061","IN","DigitalOcean, LLC","200","DigitalOcean, LLC","18093","socks4","4993","1","2023-09-06T10:59:34.235Z","99","3737","3776"
"176.9.32.90","elite","AS24940","DE","Hetzner Online GmbH","94","Hetzner","39433","socks5","5202","1","2023-09-06T10:59:34.381Z","100","3683","3686"
"103.89.62.81","elite","AS58972","IN","Bhomika Network PVT LTD","198","Bhomika Network Pvt Ltd","4153","socks4","5001","1","2023-09-06T10:59:34.281Z","99","3797","3822"
"110.77.161.197","elite","AS131090","TH","CAT-BB","189","N/A","4145","socks4","4313","1","2023-09-06T10:59:34.135Z","76","2791","3687"
"103.82.11.233","elite","AS136156","BD","FNF Online","187","N/A","4153","socks4","3104","1","2023-09-06T10:59:34.283Z","99","3736","3778"
"124.156.157.218","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","246","N/A","13220","socks5","4999","1","2023-09-06T10:59:34.142Z","100","3791","3798"
"168.227.158.49","elite","AS52898","BR","Multipla Serviços Inteligentes","205","Multipla Serviços Inteligentes","4145","socks4","4895","2","2023-09-06T10:59:34.050Z","99","3768","3792"
"185.94.7.236","elite","AS200848","CZ","ISP Alliance a.s.","38","GRAPE SC","4145","socks4","1200","1","2023-09-06T10:59:34.474Z","100","3714","3727"
"71.227.88.166","elite","AS33668","US","Comcast Cable Communications, LLC","191","Comcast Cable Communications, Inc.","16913","socks4","4608","1","2023-09-06T10:59:27.845Z","100","3768","3781"
"46.4.73.88","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","80","socks5","4808","1","2023-09-06T10:59:27.842Z","67","2486","3722"
"138.219.50.170","elite","AS263933","BR","Sistem Telecom","299","Sistem Telecom","4145","socks4","4690","1","2023-09-06T10:59:27.844Z","99","3745","3796"
"141.105.86.130","elite","AS24634","LB","CYBERIA","97","N/A","44660","socks4","4892","1","2023-09-06T10:59:27.839Z","89","3399","3815"
"217.115.115.148","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","81","Webworld","56792","socks4","5196","1","2023-09-06T10:59:27.936Z","94","3599","3816"
"69.163.160.191","elite","AS26347","US","New Dream Network, LLC","193","New Dream Network, LLC","28640","socks4","4597","1","2023-09-06T10:59:27.843Z","100","3679","3680"
"210.57.216.110","elite","AS38142","ID","Airlangga University","194","Universitas Airlangga, y","4145","socks4","4393","1","2023-09-06T10:59:27.836Z","99","3714","3733"
"222.124.177.148","elite","AS7713","ID","Telekomunikasi Indonesia","293","PT. TELKOM INDONESIA","7497","socks5","5099","1","2023-09-06T10:59:24.183Z","91","3372","3706"
"81.91.157.134","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","99","N/A","5678","socks5","4383","1","2023-09-06T10:59:24.180Z","99","3652","3702"
"168.227.158.9","elite","AS52898","BR","Multipla Serviços Inteligentes","205","Multipla Serviços Inteligentes","4145","socks4","4499","84","2023-09-06T10:59:24.180Z","99","3696","3718"
"216.107.129.72","elite","AS61317","US","Colocation America Corporation","100","Ipxo LLC","10180","socks5","5108","1","2023-09-06T10:59:21.743Z","100","3688","3688"
"213.96.91.165","elite","AS3352","ES","Telefonica De Espana SAU","36","TDENET (Red de servicios IP)","4153","socks4","3100","1","2023-09-06T10:59:21.648Z","96","3667","3823"
"177.36.13.65","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","164","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","4705","1","2023-09-06T10:59:21.636Z","92","3344","3634"
"152.136.151.195","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","198","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","4615","1","2023-09-06T10:59:21.642Z","78","2934","3740"
"119.29.84.133","elite","AS45090","HK","Shenzhen Tencent Computer Systems Company Limited","206","Tencent cloud computing (Beijing) Co., Ltd.","20806","socks5","5099","1","2023-09-06T10:59:21.638Z","82","3016","3698"
"45.8.107.47","elite","AS209242","DE","Cloudflare London, LLC","12","Araxio Development N.V","80","socks4","4394","1","2023-09-06T10:59:21.640Z","100","3591","3591"
"45.79.0.108","elite","AS63949","US","Akamai Technologies, Inc.","119","Linode","1080","socks5","2103","1","2023-09-06T10:59:21.639Z","88","3237","3688"
"194.6.233.122","elite","AS33927","UA","Ukrmirkom LTD","53","Specavtomatica Ltd","3629","socks4","4908","1","2023-09-06T10:59:15.348Z","98","3717","3775"
"8.219.152.222","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","391","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","4218","86","2023-09-06T10:59:15.337Z","51","1876","3682"
"218.1.200.18","elite","AS4812","CN","China Telecom","408","N/A","57114","socks5","4987","82","2023-09-06T10:59:15.346Z","45","1679","3744"
"31.204.28.136","elite","AS209372","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","4292","1","2023-09-06T10:59:15.343Z","100","3705","3714"
"41.73.253.234","elite","AS16284","NG","VBN","196","N/A","4145","socks4","210","1","2023-09-06T10:59:15.338Z","59","2228","3790"
"180.183.13.200","elite","AS45629","TH","Triple T Broadband Public Company Limited","186","Triple T Broadband Public Company Limited","5678","socks4","5111","1","2023-09-06T10:59:15.349Z","92","3493","3782"
"197.234.13.58","elite","AS36902","SC","Intelvision","195","Intelvision Ltd","4145","socks4","4790","1","2023-09-06T10:59:15.341Z","100","3776","3787"
"201.76.9.26","elite","AS28642","BR","Contato Internet EIRELI","215","Contato Internet EIRELI","4145","socks4","5003","3","2023-09-06T10:59:15.335Z","99","3760","3781"
"83.143.24.29","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","186","Vbn Core","5678","socks4","4695","1","2023-09-06T10:59:15.344Z","98","3621","3694"
"71.167.151.15","elite","AS701","US","Verizon Business","95","Verizon Business","8080","socks5","195","1","2023-09-06T10:59:14.090Z","100","3543","3547"
"111.199.70.169","elite","AS4808","CN","China Unicom Beijing Province Network","192","N/A","1080","socks5","4493","1","2023-09-06T10:59:14.085Z","71","2673","3761"
"5.160.186.110","elite","AS42337","IR","Respina Networks & Beyond PJSC","99","Respina","5678","socks4","4794","80","2023-09-06T10:59:14.087Z","96","3618","3787"
"187.95.82.254","elite","AS262696","BR","Turbonet Telecomunicações","195","Turbonet Telecomunicações","3629","socks4","5100","1","2023-09-06T10:59:14.087Z","96","3640","3791"
"50.47.75.214","elite","AS20055","US","Wholesail networks LLC","195","Ziply Fiber","5678","socks4","4995","1","2023-09-06T10:59:14.091Z","98","3709","3800"
"110.34.166.178","elite","AS45652","SG","Krypt Technologies","284","Vpls Sin1","4153","socks4","4900","1","2023-09-06T10:59:09.142Z","98","3710","3775"
"103.47.93.203","elite","AS134058","IN","Broban Internet Services Pvt.ltd","198","Broban  PVT Ltd.","1080","socks4","4399","1","2023-09-06T10:59:09.236Z","99","3701","3725"
"74.208.65.165","elite","AS8560","US","IONOS SE","194","IONOS Inc","14548","socks4","5100","1","2023-09-06T10:59:09.235Z","99","3675","3718"
"45.126.21.75","elite","AS132540","IN","Airnat IT Solutions PVT LTD","189","Airnat IT Solutions PVT LTD","5678","socks4","4905","1","2023-09-06T10:59:09.233Z","99","3636","3679"
"159.223.117.140","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","24006","socks5","4896","1","2023-09-06T10:59:09.144Z","78","2909","3714"
"149.20.253.77","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","4917","1","2023-09-06T10:59:03.790Z","100","3654","3664"
"100.36.158.82","elite","AS701","US","Verizon Communications","101","MCI Communications Services, Inc. d/b/a Verizon Business","8888","socks5","3594","1","2023-09-06T10:59:03.789Z","100","3789","3790"
